hotend_ist;hotend_soll;bed_ist;bed_soll
219,99 ;220,00 ;60,39 ;/60,00 
220,02 ;220,00 ;60,37 ;/60,00 
220,40 ;220,00 ;60,53 ;/60,00 
220,93 ;220,00 ;60,44 ;/60,00 
220,55 ;220,00 ;60,43 ;/60,00 
221,20 ;220,00 ;60,42 ;/60,00 
220,89 ;220,00 ;60,38 ;/60,00 
221,35 ;220,00 ;60,35 ;/60,00 
221,75 ;220,00 ;60,15 ;/60,00 
221,40 ;220,00 ;60,12 ;/60,00 
221,15 ;220,00 ;60,15 ;/60,00 
220,48 ;220,00 ;60,12 ;/60,00 
219,99 ;220,00 ;60,10 ;/60,00 
219,16 ;220,00 ;60,35 ;/60,00 
218,75 ;220,00 ;60,51 ;/60,00 
218,26 ;220,00 ;60,57 ;/60,00 
218,08 ;220,00 ;60,49 ;/60,00 
218,56 ;220,00 ;60,42 ;/60,00 
218,75 ;220,00 ;60,35 ;/60,00 
219,65 ;220,00 ;60,28 ;/60,00 
220,44 ;0,00 ;60,14 ;/0,00 
220,93 ;220,00 ;60,02 ;/0,00 
220,51 ;220,00 ;59,96 ;/60,00 
220,21 ;220,00 ;59,88 ;/60,00 
218,68 ;220,00 ;59,84 ;/60,00 
216,61 ;220,00 ;60,00 ;/60,00 
214,89 ;220,00 ;60,22 ;/60,00 
213,13 ;220,00 ;60,51 ;/60,00 
212,23 ;220,00 ;60,86 ;/60,00 
211,89 ;220,00 ;61,09 ;/60,00 
212,19 ;220,00 ;61,17 ;/60,00 
213,20 ;220,00 ;61,17 ;/60,00 
214,55 ;220,00 ;61,13 ;/60,00 
216,27 ;220,00 ;61,04 ;/60,00 
217,74 ;220,00 ;60,91 ;/60,00 
219,01 ;220,00 ;60,81 ;/60,00 
220,02 ;220,00 ;60,68 ;/60,00 
220,44 ;220,00 ;60,58 ;/60,00 
220,40 ;220,00 ;60,42 ;/60,00 
220,18 ;220,00 ;60,25 ;/60,00 
219,73 ;220,00 ;60,20 ;/60,00 
219,09 ;220,00 ;60,09 ;/60,00 
218,60 ;220,00 ;60,01 ;/60,00 
